id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
522,Let Me In,Gene Crysler (Porter Wagoner),,,,522,,TRUE,,,,1969,,
806,Here Comes the Sun,George Harrison (The Beatles),,,4771,806,,,,,,1969,https://en.wikipedia.org/wiki/Here_Comes_the_Sun,
507,I Want to Tell You,George Harrison (The Beatles),,,,507,,TRUE,,,,1994,,
516,It's All Too Much,George Harrison (The Beatles),,,,516,,TRUE,,,,1995,,
796,Within You Without You,George Harrison (The Beatles),,,,796,,,,,,1967,https://en.wikipedia.org/wiki/Within_You_Without_You,
765,Careless Whisper,"George Michael, Andrew Ridgeley (Wham!)",,,,765,,,,,,,https://en.wikipedia.org/wiki/Careless_Whisper,
423,Stayin' Alive,Gibb – Gibb – Gibb (Bee Gees),,,,423,,TRUE,,,,1978,,
283,Manteca,Gillespie – Pozo – Fuller,,,,283,,,,,,,,
389,Shine On You Crazy Diamond,Gilmour – Waters – Wright (Pink Floyd),Shine On,,4244:4534:4847,389,,,,,,,,
183,Radar Love,Golden Earring,,,2320,183,,,,,,1973,https://en.wikipedia.org/wiki/Radar_Love,
713,Early Morning Rain,Gordon Lightfoot (Peter Paul & Mary),,,,713,,TRUE,,,,1966,,
6,Alice D. Millionaire,Grateful Dead,,,205:1551:3937:5465,6,TRUE,,,,,1966,,
482,Down So Long,Grateful Dead,,,,482,TRUE,,,,,1966,,
85,Golden Road (To Unlimited Devotion),Grateful Dead,Golden Road,,103:184:393:1524:1706:1858:2233:2556:2994:3089:3458:3763:3861:4326:4939:5004:5308,85,TRUE,,,,,1967,,
530,Mind Left Body,Grateful Dead,,,,530,TRUE,,,,Mud Love Buddy,1973,,MLB
